PEANUT FLOUR,428,52.2,34.7,3.04
PEANUT SPRD,650,24.8,14.23,10.22
PEANUTS,599,28.03,21.51,8.686
PEAR NECTAR,60,0.11,15.76,0.001
PEARS,262,1.87,69.7,0.035
PEAS,341,24.55,60.37,0.161
PEAS&CARROTS,53,3.4,11.15,0.084
PEAS&ONIONS,70,3.98,13.51,0.068
PECANS,715,9.5,13.55,7.238
PEPEAO,298,4.82,81.03,0.0
PEPPER,318,12.01,68.61,3.26
PEPPERMINT,70,3.75,14.89,0.246
PEPPERONI,494,22.68,0.0,14.86
PEPPERS,345,17.9,69.86,1.59
PERCH,117,24.86,0.0,0.237
PERSIMMONS,274,1.38,73.43,0.02
PHEASANT,181,24.37,0.0,2.7
PICKLE RELISH,130,1.5,35.06,0.054
PICKLE&PIMIENTO LOAF,225,11.23,8.46,5.287
PICKLES,122,1.5,33.73,0.149
PICNIC LOAF,232,14.92,4.76,6.07
PIE FILLINGS,181,0.41,44.38,0.0
PIGEON PEAS (RED GM),343,21.7,62.78,0.33
PIGEONPEAS,136,7.2,23.88,0.354
PIKE,119,24.69,0.0,0.319
PILINUTS-CANARYTREE,719,10.8,3.98,31.184
PIMENTO,23,1.1,5.1,0.045
PINA COLADA,237,0.6,27.6,6.571
PINE NUTS,629,11.57,19.3,9.377
PINEAPPLE,86,0.55,22.2,0.009
PINEAPPLE JUC,179,1.3,44.3,0.008
PINEAPPLE&GRAPEFRUIT JUC DRK,47,0.2,11.6,0.006
PINEAPPLE&ORANGE JUC DRK,50,1.3,11.8,0.0
PISTACHIO NUTS,571,21.35,27.97,5.555
PITANGA,33,0.8,7.49,0.0
PLANTAINS,122,1.3,31.89,0.143
PLUMS,240,2.18,63.88,0.088
POKEBERRY SHOOTS,23,2.6,3.7,0.092
POLISH SAUSAGE,326,14.1,1.63,10.33
POLLOCK,118,24.92,0.0,0.231
POMEGRANATE JUC,54,0.15,13.13,0.077
POMEGRANATES,83,1.67,18.7,0.12
POMPANO,211,23.69,0.0,4.499
PORK,898,38.62,4.49,45.23
PORK & TURKEY SAUSAGE,342,12.05,3.63,9.881
PORK SAUSAGE,378,19.43,0.0,11.662
PORK&BF SAUSAGE,396,13.8,2.7,12.96
POTATO,93,2.5,21.15,0.035
POTATO PUFFS,190,2.05,27.75,1.823
POTATO SALAD,143,2.68,11.17,1.429
POTATO SOUP,343,9.2,76.14,0.613
POTATOES,372,10.9,85.51,5.96
POULTRY,272,14.72,0.0,7.45
POULTRY FD PRODUCTS,235,27.36,0.0,3.39
POUT,102,21.33,0.0,0.41
PRICKLY PEARS,41,0.73,9.57,0.067
PRK,190,28.35,0.41,2.725
PRUNE JUICE,71,0.61,17.45,0.003
PRUNES,339,3.7,89.07,0.059
PUDDINGS,365,10.08,86.04,1.578
PUMMELO,38,0.76,9.62,0.0
PUMPKIN,34,1.1,8.09,0.146
PUMPKIN FLOWERS,15,1.09,3.3,0.041
PUMPKIN LEAVES,21,3.15,3.39,0.207
PUMPKIN PIE MIX,104,1.09,26.39,0.065
PUMPKIN&SQUASH SD KRNLS,541,32.97,17.81,8.674
PUMPKIN&SQUASH SEEDS,446,18.55,53.75,3.67
PURSLANE,18,1.49,3.55,0.0
QUAIL,192,22.59,0.0,3.38
QUAKER OATS,5,0.0,1.22,0.0
QUINCES,57,0.4,15.3,0.01
RADICCHIO,23,1.43,4.48,0.06
RADISH SEEDS,43,3.81,3.6,0.767
RADISHES,271,7.9,63.37,0.218
RAISINS,302,3.39,79.52,0.178
RAMBUTAN,82,0.65,20.87,0.0
RASPBERRIES,103,1.2,26.16,0.019
REFRIED BNS,91,5.41,15.26,0.391
RHUBARB,116,0.9,31.2,0.053
ROCKFISH,121,24.04,0.0,0.474
ROE,204,28.62,1.92,1.866
